"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment","SMD"
"R62","R0603","5.029mm","58.369mm","5.032mm","58.362mm","4.27mm","58.362mm","B","0","1M","True"
"LCD1","LCD-128X160-1.77INCH_IPS_SOLDER_FLIP_TOP","23.978mm","57.607mm","60.05mm","57.6mm","23.97mm","62.8mm","B","90","LCD_Universal_128x160_14pin+SOLDER","True"
"LCD2","LCD-128X160-1.77INCH_IPS_PLUG_FLIP_BACK_FH34SRJ-14S-0.5SH(50)","49.835mm","57.607mm","60.05mm","57.6mm","51.2mm","60.85mm","T","90","LCD_Universal_128x160_14pin+CONN","True"
"L13","FER0805","4.394mm","64.821mm","4.397mm","64.839mm","4.397mm","65.76mm","B","270","1K@100MHz","True"
"C65","C0805","6.426mm","64.821mm","6.429mm","64.839mm","6.429mm","65.76mm","B","270","10uF","True"
"J6","B2B-0.5MM-20P-M_MEDIUM","7.112mm","48.717mm","7.1mm","48.7mm","4.849mm","50.7mm","T","0","CONN_B2B_2X10","True"
"R63","R0603","11.201mm","64.211mm","11.2mm","64.2mm","11.2mm","64.962mm","B","270","10R","True"
"C66","C0603","8.204mm","64.592mm","8.207mm","64.585mm","8.207mm","63.823mm","B","90","100nF","True"
"USB1","Type-C-TOP","7.163mm","57.607mm","2mm","57.6mm","4.6mm","53.28mm","T","180","Type-C","True"
"SW3","TACTILE_SWITCH_SMD_4X4MM_NO_CASE","11.201mm","45.593mm","11.2mm","45.6mm","13.05mm","42.7mm","B","90","Button-4P","True"
"SW2","TACTILE_SWITCH_SMD_4X4MM_NO_CASE","11.201mm","57.607mm","11.2mm","57.6mm","9.35mm","60.5mm","B","270","Button-4P","True"
"SW1","TACTILE_SWITCH_SMD_4X4MM_NO_CASE","11.201mm","69.596mm","11.2mm","69.6mm","13.05mm","66.7mm","B","90","Button-4P","True"
"R65","R0402","10.49mm","52.019mm","10.493mm","52.012mm","10.493mm","52.512mm","T","270","5.1K","True"
"R64","R0402","10.49mm","63.195mm","10.493mm","63.188mm","10.493mm","62.688mm","T","90","5.1K","True"
"C70","C0603","5.029mm","56.845mm","5.032mm","56.838mm","4.27mm","56.838mm","B","0","4.7nF/C0G","True"
